course_campaign_name,campaign_agenda,campaign_category,digital_marketing_team,marketing_product,mobile,tablet,laptop,campaign_id,Illinois,California,Georgia,Arizona,Florida,West_Virginia,Texas,Massachusetts,Wisconsin,District_of_Columbia,Kentucky,Missouri,Mississippi,Alabama,Ohio,Michigan,Oklahoma,Virginia,New_York,Washington,Colorado,Pennsylvania,Indiana,North_Carolina,Minnesota,Tennessee,New_Jersey,Idaho,Nevada,Louisiana,New_Mexico,Maryland,South_Carolina,Oregon,Connecticut,Alaska,Iowa,Montana,Rhode_Island,Utah,Arkansas,Kansas,Nebraska,Hawaii,North_Dakota,New_Hampshire,Maine,South_Dakota
email_email_marketing_66,open_link,marketing,ind_stv_digex,email_marketing,3,4,4,1657613925,"",3,1,"","","","","",1,1,1,1,"","","","","","","","","","","","",1,2,"","","","","","","","","","","","","","","","","","","","","",""
email_podcasting_43,click_on_email,new_course_added,ind_stv_digex,podcasting,3,7,4,4670467484,"",2,"","",2,"",1,"","",2,"","","","",2,"","","",1,1,"","","",1,"","","","","","","","","",1,"","",1,"","","","","","","","","","",""
email_social_media_marketing_199,open_link,new_course_added,ind_stv_digex,social_media_marketing,5,7,2,5032713570,1,"","",2,"","",1,"",1,"","","","","",2,"","",1,2,1,"","","",1,"","","","","","","","","","","","",1,"","","","","","","",1,"","",""
email_youtube_marketing_146,click_on_email,new_course_added,ind_myq_digex,youtube_marketing,7,13,3,5668658260,"",4,1,"",3,"","",1,1,"",1,"","","",1,"",2,1,"","","",1,"",1,"",1,"","","",1,"","",2,"",1,"","","","","",1,"","","","","","",""
email_email_marketing_129,register_to_course,marketing,ind_stv_digex,email_marketing,4,7,4,6001188742,"",3,"","",1,1,2,"",1,1,"","",1,"","","","","",2,"","",1,"","","","","","","","","","","","","","",2,"","","","","","","","","","",""
email_podcasting_197,open_link,marketing,ind_ccu_digex,podcasting,1,5,4,9383088435,"",4,"","",1,"",1,"","","","",1,"","","","","","",1,"","","","","",1,"","","","","","","","","","","","","","","","",1,"","","","","",""
email_podcasting_172,open_link,marketing,ind_vtz_digex,podcasting,3,7,6,4628233950,1,2,"","","","",2,"","",1,"",1,"",1,"","","","",2,"",1,"","","",2,1,1,"",1,"","","","","","","","","","","","","","","","","","",""
email_podcasting_168,click_on_email,marketing,ind_vtz_digex,podcasting,5,7,1,5341173562,1,2,1,1,"",1,1,"","",1,"","","","","","","",1,"","",1,1,"","","","","","","","","","","","",1,"","","","","","",1,"","","","","",""
email_podcasting_158,open_link,marketing,ind_bdq_digex,podcasting,"",3,9,6451262757,1,"",1,"",1,"",2,"",2,1,"","","","","","","","",1,"",1,"","",1,"","","","",1,"","","","","","","","","","","","","","","","","","",""
email_email_marketing_148,open_link,new_course_added,ind_vtz_digex,email_marketing,8,8,5,771278527,1,4,2,1,2,"",1,"","",2,"",1,"","","","","",2,2,1,"",1,"","","",1,"","","","","","","","","","","","","","","","","","","","","",""
email_youtube_marketing_133,open_link,marketing,ind_vtz_digex,youtube_marketing,6,11,5,1109634161,"",8,2,1,3,"",2,"",1,"","","","","","","","","","","","",3,"","","",2,"","","","","","","","","","","","","","","","","","","","","",""
email_podcasting_17,register_to_course,new_course_added,ind_bdq_digex,podcasting,2,8,3,3384027973,1,2,"","",3,"",1,1,1,"","",1,"","","","","","",2,"","","","","","","","","","","","","","","","",1,"","","","","","","","","","","",""
email_internet_marketing_89,open_link,marketing,ind_stv_digex,internet_marketing,5,5,3,4228665829,"",1,1,"",1,"",1,"","","","","","",1,1,1,"","","","","",3,"","",1,1,"","","","","","","","","","","","","","",1,"","","","","","",""
email_google_analytics_120,click_on_email,marketing,ind_pat_digex,google_analytics,4,7,3,4267422230,"",3,1,1,1,"",3,1,"","","",1,"","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","",1
email_email_marketing_190,open_link,new_course_added,ind_vtz_digex,email_marketing,4,10,5,6924009069,"",2,1,"",2,"",3,1,"","",1,"","","",1,"","",1,2,1,"","","","",1,1,"","",1,"","","","","","","",1,"","","","","","","","","","",""
email_podcasting_129,click_on_email,marketing,ind_del_digex,podcasting,4,8,5,8062307263,"",1,2,3,1,"",1,"","","",1,"","","",1,1,"","",2,"",1,"",1,"","","","","","","","",1,"","","","","","","","","","","","",1,"","",""
email_podcasting_185,open_link,new_course_added,ind_stv_digex,podcasting,5,14,6,9566050216,"",2,1,"",3,"",1,"",1,1,1,1,1,"","",1,1,1,2,1,"","",1,"",1,"","","",1,1,1,"",1,"","","","","","","",1,"","","","","","",""
email_podcasting_29,open_link,new_course_added,ind_vtz_digex,podcasting,6,9,3,3369471752,"","",2,"",3,"",3,1,1,"",1,1,"",1,"","",1,"",1,"","","","","",1,"","",1,"","",1,"","","","","","","","","","","","","","","","",""
email_podcasting_125,open_link,marketing,ind_vtz_digex,podcasting,6,16,5,6769903601,"",5,1,1,1,"",1,"","",1,1,1,2,"",2,1,1,"","","","",2,1,"","","","",1,"",1,"","","","","","",1,"",1,"","","","","","","",1,1
email_youtube_marketing_187,click_on_email,marketing,ind_stv_digex,youtube_marketing,7,6,5,7146183238,1,1,"","",1,"",2,2,"",1,"","","","","","","","",1,"",1,"",1,1,"","","","","",2,"","","","",2,"","","","","","",1,"","",1,"","",""
email_youtube_marketing_42,open_link,new_course_added,ind_vtz_digex,youtube_marketing,3,8,3,259197149,1,2,"","","","","","",1,1,"","","","",1,1,"","",2,2,1,"","","","","","","",1,"","","","","","","","","","","","",1,"","","","","",""
email_podcasting_120,open_link,new_course_added,ind_isk_digex,podcasting,4,6,2,635057883,"",4,"","","",1,1,"","","","","","",1,1,"","","","",1,1,"","","","","","",1,"","",1,"","","","","","","","","","","","","","","","",""
email_youtube_marketing_154,click_on_email,marketing,ind_bdq_digex,youtube_marketing,3,5,3,1224530195,"",3,"",1,2,"",1,"",1,"","","","","","","",1,"",1,"","","","","","","","","","","","","","","","","","","","","",1,"","","","","","",""
email_copywriting_140,open_link,new_course_added,ind_bdq_digex,copywriting,8,2,4,1378307976,"",1,"","","","",1,"","",1,"","","","",2,"","","","","","",3,"",1,2,1,"","","","","","","","","","","",1,"","","","","","","",1,"",""
email_podcasting_93,register_to_course,marketing,ind_bdq_digex,podcasting,8,8,5,1659789001,"",4,"","",3,"",1,2,"","","","",2,1,"","","",1,"",3,"",1,"","","","","",1,"",1,"","","","","","","","","","","",1,"","","","","",""
email_podcasting_101,open_link,marketing,ind_bdq_digex,podcasting,10,12,3,1842350226,"",6,"","","","",1,2,1,2,"",1,"",1,1,"","","",3,1,"",1,"","",1,"","","",1,"","","",1,"","","",1,"","","","",1,"","","","","",""
email_email_marketing_57,register_to_course,new_course_added,ind_vtz_digex,email_marketing,3,10,3,4038764583,1,3,1,"","","",2,"","",1,"",1,"","",1,"","",2,"","","",1,"","",1,"","",1,"","","","","",1,"","","","","","","","","","","","","",""
email_podcasting_110,open_link,marketing,ind_stv_digex,podcasting,4,6,3,7535659799,1,1,"","",2,"","",1,"","","","","","","","","","",1,1,"","",1,"","",1,1,"","","","","","","","","",1,1,"","",1,"","","","","","",""
email_podcasting_183,register_to_course,marketing,ind_vtz_digex,podcasting,5,2,5,8068015779,"",1,"",1,3,"",2,"","",1,"","","",1,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","",1,"",1,"","","",""
email_google_analytics_18,open_link,marketing,ind_vtz_digex,google_analytics,2,5,8,650279557,"",1,"","",3,"",1,"",1,1,"",1,"","","","","",1,"",1,1,"",2,"","","","","","",1,"","","","","","","","","",1,"","","","","","","",""
email_podcasting_89,open_link,new_course_added,ind_vtz_digex,podcasting,6,10,3,4400960811,"",1,"",1,2,"","","","",1,"","",1,2,3,"",1,"","","",1,"",1,1,1,"","","","","","",1,"","","","","","","","","",1,"",1,"","","",""
email_podcasting_15,register_to_course,new_course_added,ind_isk_digex,podcasting,8,8,2,6100620030,"",2,"",1,2,"",3,1,"","","","","","",1,"","","",1,1,"",2,"",1,"","","","","","","",1,"","","","","","","",1,"","","","","",1,"",""
email_youtube_marketing_161,click_on_email,marketing,ind_pat_digex,youtube_marketing,7,4,4,6198861082,1,3,"","",1,"",2,"","",1,"",1,"","",1,"","","",2,"","","","",1,"","","","","",1,1,"","","","","","","","","","","","","","","","",""
email_podcasting_177,register_to_course,marketing,ind_vtz_digex,podcasting,1,13,4,7617155565,1,2,2,"",2,"",2,"","",2,"","","","",1,"","",2,"",2,"",1,"","","","","","","","","",1,"","","","","","","","","","","","","","","",""
email_podcasting_158,open_link,new_course_added,ind_vtz_digex,podcasting,1,12,5,137220391,2,"",2,1,4,"","","","",1,"","","","","",2,"","",2,"",1,"","","","",2,"","","","","","",1,"","","","","","","","","","","","","","",""
email_youtube_marketing_116,open_link,marketing,ind_vtz_digex,youtube_marketing,2,8,3,1954873107,1,"","","",3,"","",1,"","","","",1,"","",1,"",1,2,"","","","",1,"","","","","","","","",1,"","","","","","","",1,"","","","","","",""
email_podcasting_151,open_link,new_course_added,ind_vtz_digex,podcasting,7,14,4,5370900124,2,4,1,"",1,"",2,1,"",1,"","","","","","","",2,2,"",1,1,"","",1,1,"","","",3,"","","","","","",1,"","",1,"","","","","","","",""
email_youtube_marketing_10,click_on_email,marketing,ind_pat_digex,youtube_marketing,7,7,3,6274383743,"",1,"","",4,"",2,1,"","","","",1,1,"",1,"",1,"","","","","","","",1,"",1,"","","","",1,"","",1,1,"","","","","","","","","","",""
email_podcasting_124,register_to_course,marketing,ind_vtz_digex,podcasting,3,14,4,8119528131,1,2,1,1,2,"","",2,"","",2,"","",2,"",2,"","","",2,"","","",1,"","","","","",1,"",1,"","","","","","","","","",1,"","","","","",""
email_podcasting_110,click_on_email,new_course_added,ind_vtz_digex,podcasting,6,8,8,8993638314,"",2,1,"",2,"",2,2,"",3,"","","","",2,1,"","",1,"","",1,"","",1,2,"","","",1,"","",1,"","","","","","","","","","","","","","",""
email_email_marketing_27,open_link,new_course_added,ind_vtz_digex,email_marketing,4,8,4,1026769809,1,1,1,"",4,"",1,1,"","",1,"","","","","","",1,"","",1,"","","","","","","",1,"","","","",1,"","",1,"","",1,"","","","","","","",""
email_youtube_marketing_151,register_to_course,new_course_added,ind_stv_digex,youtube_marketing,7,12,4,2599828201,2,3,2,"",1,"",1,1,"",1,"","",1,"",2,"","",1,1,"","","","","","",1,"","",1,1,"","",1,"",1,1,1,"","","","","","","","","","",""
email_youtube_marketing_13,register_to_course,marketing,ind_vtz_digex,youtube_marketing,2,9,1,2916360158,1,1,"","",1,"",1,"","","","","","","","","",1,"",1,"",1,2,1,"",1,"","","","","","","",1,"","","","","","","","","","","","","","",""
email_email_marketing_147,open_link,marketing,ind_vtz_digex,email_marketing,3,8,4,3597686265,1,3,"","",2,1,2,"","","","","","","",2,"","","","","","",2,"",1,"",1,"","","","","","","","","","","","","","","","","","","","","",""
email_google_analytics_154,open_link,marketing,ind_stv_digex,google_analytics,4,11,5,4937227475,"",1,1,"",5,"","","","","","","","","",3,"","","",2,"","","","",1,"","","","","",1,"",1,1,1,"","",2,"","","","",1,"","","","","",""
email_google_analytics_113,open_link,new_course_added,ind_ccu_digex,google_analytics,1,7,4,6379781021,"",1,1,"","","",1,1,"",1,"","","","",1,"","","",3,"","","","","",1,1,"","","","","","","","","","","","","","","",1,"","","","","",""
email_internet_marketing_160,open_link,marketing,ind_vtz_digex,internet_marketing,5,4,3,6429785076,"",2,1,"",2,"",4,"","","","","","","","",2,"","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","",""
email_podcasting_119,register_to_course,new_course_added,ind_stv_digex,podcasting,1,7,3,9666583623,2,2,1,"",1,"",1,1,"","","","","","","","","","","","","","","","","",1,"","","",1,"","",1,"","","","","","","","","","","","","","",""
email_youtube_marketing_9,click_on_email,new_course_added,ind_bdq_digex,youtube_marketing,6,9,1,595095534,1,4,"",1,3,"","","","","","",1,"","","",1,"","",2,1,"","",1,"","","","","","","","","","","","","","","","","","","","","","",1,"",""
