campaign_actual_sent_percent,campaign_actual_sent,campaign_sent_positive,campaign_actual_open_percent,campaign_actual_open,campaign_open_positive,campaign_actual_click_percent,campaign_actual_click,campaign_click_positive,campaign_id,course_campaign_name,campaign_agenda,campaign_category,campaign_agenda_sent,campaign_agenda_open,campaign_agenda_click,campaign_agenda_unsubscribe,digital_marketing_team,course_campaign_start_date,course_campaign_end_date,marketing_product,campaign_result_key,campaign_actual_unsubscribe_percent,campaign_actual_unsubscribe,campaign_unsubscribe_positive
84,16,false,83,10,true,66,6,true,113290594,email_podcasting_102,open_link,new_course_added,99,21,14,1,ind_vtz_digex,5/1/2022,05/15/2022,podcasting,113290594_email_podcasting_102,33,5,false
80,16,false,40,6,true,35,5,true,4381511964,email_podcasting_1,register_to_course,marketing,99,24,15,2,ind_vtz_digex,5/2/2022,05/16/2022,podcasting,4381511964_email_podcasting_1,6,1,false
50,7,false,83,10,true,44,4,true,548671095,email_google_analytics_45,register_to_course,marketing,99,24,10,2,ind_bdq_digex,5/3/2022,05/17/2022,google_analytics,548671095_email_google_analytics_45,36,4,false
75,12,false,63,7,true,0,0,false,4169865197,email_podcasting_130,open_link,marketing,98,25,13,1,ind_pat_digex,5/4/2022,05/18/2022,podcasting,4169865197_email_podcasting_130,25,3,false
75,21,false,42,9,true,38,5,true,6432545579,email_email_marketing_190,click_on_email,new_course_added,100,24,11,2,ind_vtz_digex,5/2/2022,05/16/2022,email_marketing,6432545579_email_email_marketing_190,16,3,false
76,13,false,78,11,true,25,2,true,8018181012,email_podcasting_26,open_link,marketing,100,22,15,1,ind_vtz_digex,5/6/2022,05/20/2022,podcasting,8018181012_email_podcasting_26,28,2,false
70,14,false,75,12,true,28,2,true,1662586272,email_email_marketing_41,open_link,marketing,99,20,13,2,ind_vtz_digex,5/8/2022,05/22/2022,email_marketing,1662586272_email_email_marketing_41,43,7,false
78,15,false,38,5,true,42,3,true,1954873107,email_youtube_marketing_116,open_link,marketing,100,23,13,2,ind_vtz_digex,5/6/2022,05/20/2022,youtube_marketing,1954873107_email_youtube_marketing_116,15,2,false
94,17,false,62,10,true,50,5,true,4665434638,email_youtube_marketing_47,click_on_email,new_course_added,99,20,15,2,ind_bdq_digex,5/2/2022,05/16/2022,youtube_marketing,4665434638_email_youtube_marketing_47,30,6,false
93,14,false,36,4,true,50,4,true,5087692958,email_youtube_marketing_97,open_link,new_course_added,98,25,13,2,ind_ccu_digex,5/8/2022,05/22/2022,youtube_marketing,5087692958_email_youtube_marketing_97,27,3,false
80,12,false,72,8,true,66,4,true,5207716360,email_podcasting_3,click_on_email,new_course_added,100,25,10,2,ind_pat_digex,5/4/2022,05/18/2022,podcasting,5207716360_email_podcasting_3,0,0,true
80,21,false,47,10,true,33,4,true,187261539,email_podcasting_82,register_to_course,new_course_added,98,25,15,2,ind_bdq_digex,5/2/2022,05/16/2022,podcasting,187261539_email_podcasting_82,35,7,false
93,15,false,71,10,true,62,5,true,259197149,email_youtube_marketing_42,open_link,new_course_added,98,25,11,3,ind_vtz_digex,5/7/2022,05/21/2022,youtube_marketing,259197149_email_youtube_marketing_42,23,3,false
65,17,false,81,13,true,40,4,true,2598274253,email_youtube_marketing_11,open_link,marketing,100,25,13,1,ind_bdq_digex,5/7/2022,05/21/2022,youtube_marketing,2598274253_email_youtube_marketing_11,36,8,false
69,16,false,78,15,true,50,5,true,8013820394,email_google_analytics_15,open_link,marketing,98,23,14,2,ind_vtz_digex,5/8/2022,05/22/2022,google_analytics,8013820394_email_google_analytics_15,25,5,false
57,12,false,52,9,true,50,7,true,9602893540,email_podcasting_132,open_link,new_course_added,100,25,11,3,ind_stv_digex,5/5/2022,05/19/2022,podcasting,9602893540_email_podcasting_132,18,2,false
95,19,false,45,5,true,37,3,true,1224530195,email_youtube_marketing_154,click_on_email,marketing,98,22,14,4,ind_bdq_digex,5/8/2022,05/22/2022,youtube_marketing,1224530195_email_youtube_marketing_154,40,6,false
87,14,false,46,6,true,33,2,true,6044547086,email_podcasting_154,click_on_email,new_course_added,99,24,15,3,ind_vtz_digex,5/2/2022,05/16/2022,podcasting,6044547086_email_podcasting_154,50,6,false
